Code,Agency_en,Type_en,InstrumentShortName_en,InstrumentLongName_en,Status
953,CMA,"Radiómetro de sondeo por MWHS-2 microondas, exploración transversal",,Sonda de humedad por microondas-2,
954,CMA,"Radiómetro de sondeo por MWTS-2 microondas, exploración transversal",,Sonda de temperatura por microondas 2,
955,CMA,"Sonda infrarroja de           HIRAS exploración a través del
nadir",,Sonda atmosférica infrarroja hiperespectral,
956,CMA,Espectrómetro                  SBUS,,Sonda ultravioleta de retrodispersión solar,
957,CMA,Espectrómetro                  TOU,,Unidad de ozono total,
958,CMA,Sonda de ocultación          GNOS GNSS,,Sistema mundial de navegación por satélite con sonda ocultación,
959,SNSB,Sonda para la                   SMR exploración del limbo,,Radiómetro submilimétrico,
960,,Reservada,,,
961,CMA,Radiómetro multiespectral AGRI de obtención de imágenes,,Imagenizador de radiación geoestacionario avanzado,
962,CMA,Sonda para la temperaturaGIIRS y humedad atmosféricas,,Interferómetro geoestacionario de sondeo en el infrarrojo,
963,CMA,"Generador óptico de          LMI imágenes de alta
resolución",,Generador de mapas de rayos,
964,CMA,Medio espacial                  SEP,,Equipo de entorno espacial,
965–,,Reservadas,,,
979,,,,,
980,KMA,Reproductor de imágenes  AMI,,Reproductor avanzado de imágenes meteorológicas,
981,KMA,Reproductor de imágenes  MI,,Reproductor de imágenes meteorológicas,
982,KMA,Entorno espacial               KSEM,,Instrumento coreano de vigilancia del tiempo espacial,
983-999,Reservadas,,,,
